date,TD Bank,Chase Bank,Capital One Bank,Bank of America,Citibank,Other Average,State Average
Alaska,2,1,0,97,0,24.5,8.16326530612245
Wyoming,0,1,0,98,1,25.0,0.0
Rhode Island,17,2,77,3,1,20.75,81.92771084337349
New Hampshire,55,2,39,3,1,11.25,488.8888888888889
Pennsylvania,16,51,20,3,10,21.0,76.19047619047619
Louisiana,9,25,14,38,14,22.75,39.56043956043956
Texas,5,56,4,19,16,23.75,21.052631578947366
Kentucky,1,44,3,33,19,24.75,4.040404040404041
Ohio,1,57,12,28,2,24.75,4.040404040404041
Minnesota,1,4,2,91,2,24.75,4.040404040404041
Oregon,2,4,2,90,2,24.5,8.16326530612245
Nebraska,2,6,5,85,2,24.5,8.16326530612245
Michigan,3,62,22,11,2,24.25,12.371134020618557
Massachusetts,41,5,47,5,2,14.75,277.96610169491527
Vermont,57,4,29,8,2,10.75,530.2325581395348
Alabama,2,62,3,8,25,24.5,8.16326530612245
Mississippi,6,21,15,32,26,23.5,25.53191489361702
Missouri,1,17,2,77,3,24.75,4.040404040404041
Illinois,2,46,2,47,3,24.5,8.16326530612245
Wisconsin,2,22,3,70,3,24.5,8.16326530612245
Colorado,3,23,2,69,3,24.25,12.371134020618557
Iowa,3,6,3,85,3,24.25,12.371134020618557
California,4,11,2,80,3,24.0,16.666666666666664
Washington,5,9,1,82,3,23.75,21.052631578947366
New Jersey,54,33,7,3,3,11.5,469.5652173913044
Connecticut,57,7,24,9,3,10.75,530.2325581395348
Idaho,0,5,0,92,3,25.0,0.0
District of Columbia,15,36,5,13,31,21.25,70.58823529411765
Maryland,8,46,2,7,37,23.0,34.78260869565217
Delaware,24,52,16,4,4,19.0,126.3157894736842
New Mexico,3,29,9,55,4,24.25,12.371134020618557
Nevada,4,10,2,80,4,24.0,16.666666666666664
Arizona,5,36,3,52,4,23.75,21.052631578947366
New York,58,8,21,9,4,10.5,552.3809523809524
Maine,76,4,11,5,4,6.0,1266.6666666666665
North Dakota,0,5,0,91,4,25.0,0.0
Florida,24,24,3,7,42,19.0,126.3157894736842
Tennessee,2,12,5,35,46,24.5,8.16326530612245
Indiana,3,67,6,19,5,24.25,12.371134020618557
Utah,5,12,4,74,5,23.75,21.052631578947366
Montana,0,8,0,87,5,25.0,0.0
South Carolina,28,12,2,8,50,18.0,155.55555555555557
Kansas,4,13,4,73,6,24.0,16.666666666666664
North Carolina,7,24,1,7,61,23.25,30.107526881720432
Virginia,7,18,3,7,65,23.25,30.107526881720432
Georgia,3,18,2,11,66,24.25,12.371134020618557
West Virginia,1,18,4,8,69,24.75,4.040404040404041
Arkansas,3,14,12,63,8,24.25,12.371134020618557
Oklahoma,6,24,13,48,9,23.5,25.53191489361702
Hawaii,19,18,8,55,0,20.25,93.82716049382715
South Dakota,0,1,8,91,0,25.0,0.0
