date,TD Bank,Chase Bank,Capital One Bank,Bank of America,Citibank,Other Average,State Average
Hawaii,16,18,0,66,0,21.0,76.19047619047619
Alaska,0,24,0,76,0,25.0,0.0
North Dakota,0,6,0,94,0,25.0,0.0
Wyoming,0,0,0,100,0,25.0,0.0
Washington,4,8,1,84,3,24.0,16.666666666666664
North Carolina,6,24,1,7,62,23.5,25.53191489361702
Maine,75,4,10,7,4,6.25,1200.0
Louisiana,8,26,11,39,16,23.0,34.78260869565217
Oklahoma,7,23,12,48,10,23.25,30.107526881720432
Ohio,1,57,12,28,2,24.75,4.040404040404041
Arkansas,4,13,12,62,9,24.0,16.666666666666664
Mississippi,5,20,15,35,25,23.75,21.052631578947366
Delaware,25,52,16,3,4,18.75,133.33333333333331
Pennsylvania,15,53,19,3,10,21.25,70.58823529411765
Oregon,2,5,2,90,1,24.5,8.16326530612245
Minnesota,1,4,2,91,2,24.75,4.040404040404041
Idaho,1,5,2,90,2,24.75,4.040404040404041
Colorado,3,23,2,69,3,24.25,12.371134020618557
Illinois,3,43,2,49,3,24.25,12.371134020618557
California,4,11,2,80,3,24.0,16.666666666666664
Missouri,1,18,2,76,3,24.75,4.040404040404041
Maryland,9,47,2,7,35,22.75,39.56043956043956
Nevada,4,10,2,80,4,24.0,16.666666666666664
South Carolina,26,12,2,7,53,18.5,140.54054054054055
Georgia,3,17,2,11,67,24.25,12.371134020618557
Michigan,3,61,22,12,2,24.25,12.371134020618557
New York,58,8,22,8,4,10.5,552.3809523809524
Connecticut,56,7,25,9,3,11.0,509.09090909090907
Vermont,57,4,29,8,2,10.75,530.2325581395348
Kentucky,1,44,3,32,20,24.75,4.040404040404041
Alabama,2,61,3,8,26,24.5,8.16326530612245
Iowa,3,6,3,85,3,24.25,12.371134020618557
Wisconsin,2,21,3,71,3,24.5,8.16326530612245
Arizona,5,36,3,52,4,23.75,21.052631578947366
Florida,24,24,3,7,42,19.0,126.3157894736842
Utah,4,12,3,75,6,24.0,16.666666666666664
Virginia,7,18,3,8,64,23.25,30.107526881720432
New Hampshire,54,2,39,4,1,11.5,469.5652173913044
Texas,5,56,4,20,15,23.75,21.052631578947366
District of Columbia,17,38,4,12,29,20.75,81.92771084337349
Montana,0,6,4,86,4,25.0,0.0
Massachusetts,41,5,47,5,2,14.75,277.96610169491527
Nebraska,2,6,5,85,2,24.5,8.16326530612245
Tennessee,2,12,5,34,47,24.5,8.16326530612245
Indiana,3,68,5,19,5,24.25,12.371134020618557
Kansas,4,13,5,72,6,24.0,16.666666666666664
West Virginia,1,18,5,8,68,24.75,4.040404040404041
South Dakota,0,0,6,94,0,25.0,0.0
New Jersey,55,32,7,3,3,11.25,488.8888888888889
Rhode Island,17,2,77,3,1,20.75,81.92771084337349
New Mexico,4,28,9,55,4,24.0,16.666666666666664
