Category: All categories

Region,TD Bank: (9/14/25 - 10/12/25),Chase Bank: (9/14/25 - 10/12/25),Capital One: (9/14/25 - 10/12/25),Citibank: (9/14/25 - 10/12/25),Bank of America: (9/14/25 - 10/12/25)
New Jersey,23%,30%,18%,8%,21%
New Hampshire,30%,22%,19%,7%,22%
Maine,25%,24%,22%,8%,21%
Vermont,24%,28%,23%,11%,14%
Massachusetts,15%,23%,20%,6%,36%
Delaware,16%,27%,26%,11%,20%
Connecticut,12%,28%,19%,10%,31%
New York,9%,43%,18%,13%,17%
Pennsylvania,13%,29%,27%,12%,19%
Rhode Island,9%,27%,19%,7%,38%
South Carolina,10%,23%,24%,8%,35%
Florida,6%,35%,19%,11%,29%
District of Columbia,4%,29%,32%,13%,22%
Maryland,3%,24%,33%,9%,31%
Virginia,3%,25%,37%,9%,26%
North Carolina,3%,26%,25%,11%,35%
Georgia,1%,31%,25%,9%,34%
North Dakota,2%,29%,40%,14%,15%
Nevada,<1%,38%,20%,11%,31%
Hawaii,1%,39%,24%,19%,17%
Michigan,1%,47%,23%,9%,20%
Texas,<1%,41%,24%,9%,26%
Washington,<1%,41%,19%,10%,30%
Arizona,<1%,50%,17%,8%,25%
West Virginia,1%,45%,33%,9%,12%
Colorado,<1%,51%,27%,10%,12%
Illinois,<1%,51%,19%,12%,18%
Tennessee,1%,33%,29%,10%,27%
California,<1%,42%,16%,13%,29%
New Mexico,<1%,31%,26%,13%,30%
Indiana,<1%,55%,25%,9%,11%
Ohio,<1%,51%,28%,10%,11%
Oklahoma,1%,39%,27%,11%,22%
Alabama,1%,33%,35%,14%,17%
Louisiana,<1%,42%,45%,6%,7%
Iowa,1%,33%,34%,14%,18%
Mississippi,1%,33%,40%,11%,15%
Kansas,<1%,30%,29%,12%,29%
Utah,<1%,48%,23%,15%,14%
Oregon,<1%,43%,19%,12%,26%
Wisconsin,<1%,46%,31%,12%,11%
Missouri,<1%,32%,28%,11%,29%
Arkansas,<1%,28%,33%,12%,27%
Kentucky,<1%,45%,29%,12%,14%
Nebraska,<1%,37%,34%,14%,15%
Minnesota,<1%,33%,35%,15%,17%
Alaska,,22%,19%,12%,47%
South Dakota,,32%,38%,16%,14%
Montana,,31%,33%,17%,19%
Idaho,,40%,27%,16%,17%
Wyoming,,39%,35%,11%,15%
