Category: All categories

Region,TD Bank: (10/19/25 - 11/16/25),Chase Bank: (10/19/25 - 11/16/25),Capital One: (10/19/25 - 11/16/25),Citibank: (10/19/25 - 11/16/25),Bank of America: (10/19/25 - 11/16/25)
New Hampshire,32%,19%,20%,7%,22%
New Jersey,22%,32%,17%,8%,21%
Maine,26%,22%,23%,9%,20%
Vermont,24%,27%,23%,12%,14%
Delaware,16%,26%,27%,11%,20%
Connecticut,14%,28%,19%,10%,29%
New York,10%,41%,19%,13%,17%
Massachusetts,12%,25%,20%,7%,36%
Rhode Island,9%,26%,21%,8%,36%
Pennsylvania,12%,30%,29%,11%,18%
South Carolina,11%,25%,23%,9%,32%
Florida,6%,35%,19%,10%,30%
District of Columbia,3%,29%,34%,12%,22%
Maryland,3%,24%,33%,9%,31%
Virginia,2%,26%,36%,10%,26%
North Carolina,3%,26%,25%,11%,35%
Georgia,1%,32%,26%,8%,33%
Nevada,<1%,37%,23%,11%,29%
Hawaii,1%,39%,22%,21%,17%
Michigan,<1%,48%,22%,11%,19%
Arizona,<1%,48%,16%,10%,26%
Washington,<1%,40%,17%,11%,32%
Texas,<1%,43%,23%,9%,25%
Illinois,<1%,50%,20%,12%,18%
Louisiana,<1%,39%,48%,6%,7%
Tennessee,1%,33%,27%,11%,28%
Ohio,<1%,51%,28%,10%,11%
California,<1%,42%,15%,13%,30%
Nebraska,1%,36%,36%,14%,13%
New Mexico,<1%,31%,26%,12%,31%
Colorado,<1%,51%,25%,11%,13%
Mississippi,1%,31%,42%,11%,15%
Utah,<1%,47%,24%,15%,14%
Indiana,<1%,53%,24%,10%,13%
Oklahoma,<1%,39%,27%,11%,23%
Missouri,<1%,32%,28%,11%,29%
Alabama,1%,34%,37%,13%,15%
Arkansas,<1%,29%,33%,12%,26%
Kansas,<1%,31%,30%,12%,27%
Kentucky,<1%,45%,30%,12%,13%
Oregon,<1%,41%,20%,13%,26%
Iowa,<1%,33%,37%,13%,17%
Minnesota,<1%,34%,36%,15%,15%
Wisconsin,<1%,44%,31%,14%,11%
West Virginia,<1%,44%,36%,8%,12%
Wyoming,<1%,36%,37%,11%,16%
Alaska,<1%,20%,22%,12%,46%
North Dakota,<1%,33%,38%,15%,14%
Montana,<1%,32%,32%,18%,18%
South Dakota,<1%,31%,40%,16%,13%
Idaho,<1%,39%,26%,16%,19%
