Category: All categories

Region,TD Bank: (10/12/25 - 11/9/25),Chase Bank: (10/12/25 - 11/9/25),Capital One: (10/12/25 - 11/9/25),Citibank: (10/12/25 - 11/9/25),Bank of America: (10/12/25 - 11/9/25)
New Hampshire,32%,20%,19%,7%,22%
New Jersey,22%,32%,17%,7%,22%
Maine,26%,23%,23%,9%,19%
Vermont,23%,28%,23%,11%,15%
Delaware,16%,25%,27%,11%,21%
Connecticut,13%,28%,18%,10%,31%
New York,10%,41%,19%,13%,17%
Massachusetts,13%,24%,21%,7%,35%
Rhode Island,9%,26%,21%,8%,36%
Pennsylvania,12%,30%,29%,12%,17%
South Carolina,11%,24%,21%,9%,35%
Florida,7%,35%,19%,9%,30%
District of Columbia,4%,30%,32%,13%,21%
Maryland,3%,23%,33%,9%,32%
Virginia,2%,26%,37%,9%,26%
North Carolina,3%,26%,25%,10%,36%
Georgia,1%,32%,26%,8%,33%
Nevada,<1%,39%,21%,11%,29%
South Dakota,1%,31%,40%,15%,13%
Hawaii,1%,40%,22%,19%,18%
Arizona,<1%,47%,16%,9%,28%
Michigan,1%,45%,23%,10%,21%
Washington,<1%,40%,18%,10%,32%
Texas,<1%,42%,24%,9%,25%
Illinois,<1%,52%,19%,11%,18%
Ohio,<1%,53%,27%,9%,11%
Tennessee,1%,34%,27%,10%,28%
California,<1%,42%,15%,13%,30%
Louisiana,<1%,41%,46%,6%,7%
Colorado,<1%,51%,27%,10%,12%
New Mexico,<1%,32%,25%,12%,31%
Arkansas,1%,30%,32%,12%,25%
Mississippi,1%,30%,43%,10%,16%
Nebraska,1%,36%,35%,15%,13%
Indiana,<1%,55%,24%,9%,12%
Alabama,1%,34%,37%,13%,15%
Iowa,1%,34%,35%,13%,17%
Idaho,<1%,41%,25%,15%,19%
Oregon,<1%,47%,18%,11%,24%
Kansas,<1%,31%,30%,11%,28%
Missouri,<1%,34%,26%,11%,29%
Utah,<1%,46%,25%,14%,15%
Kentucky,<1%,45%,30%,12%,13%
Oklahoma,<1%,38%,27%,12%,23%
Wisconsin,<1%,46%,29%,14%,11%
Minnesota,<1%,33%,36%,15%,16%
West Virginia,<1%,42%,36%,10%,12%
Alaska,<1%,20%,20%,13%,47%
Wyoming,<1%,40%,33%,11%,16%
Montana,<1%,33%,31%,18%,18%
North Dakota,<1%,33%,37%,16%,14%
