Category: All categories

Region,TD Bank: (9/21/25 - 10/19/25),Chase Bank: (9/21/25 - 10/19/25),Capital One: (9/21/25 - 10/19/25),Citibank: (9/21/25 - 10/19/25),Bank of America: (9/21/25 - 10/19/25)
New Jersey,22%,30%,17%,8%,23%
New Hampshire,30%,22%,19%,7%,22%
Maine,26%,23%,22%,8%,21%
Vermont,23%,27%,25%,11%,14%
Delaware,16%,26%,27%,10%,21%
Massachusetts,13%,24%,20%,7%,36%
New York,9%,41%,20%,13%,17%
Connecticut,12%,29%,19%,10%,30%
Pennsylvania,13%,30%,29%,11%,17%
Rhode Island,9%,26%,20%,8%,37%
Florida,7%,34%,19%,10%,30%
South Carolina,11%,24%,23%,9%,33%
District of Columbia,4%,29%,32%,13%,22%
Maryland,3%,25%,33%,9%,30%
North Carolina,3%,26%,24%,10%,37%
Virginia,2%,26%,38%,9%,25%
Georgia,1%,31%,26%,8%,34%
Nevada,<1%,39%,20%,11%,30%
Arizona,<1%,49%,17%,8%,26%
Michigan,1%,48%,22%,9%,20%
Texas,<1%,42%,23%,9%,26%
Washington,<1%,39%,19%,10%,32%
Hawaii,1%,40%,23%,19%,17%
New Mexico,<1%,32%,26%,12%,30%
Illinois,<1%,50%,20%,11%,19%
West Virginia,1%,43%,33%,10%,13%
Tennessee,1%,31%,29%,10%,29%
Colorado,<1%,49%,27%,10%,14%
Indiana,<1%,55%,25%,9%,11%
Ohio,<1%,53%,27%,9%,11%
California,<1%,42%,15%,13%,30%
Alabama,1%,35%,35%,12%,17%
Louisiana,<1%,41%,46%,6%,7%
Kansas,<1%,31%,28%,11%,30%
Mississippi,1%,33%,41%,10%,15%
Iowa,1%,33%,34%,14%,18%
Oregon,<1%,43%,18%,12%,27%
Oklahoma,<1%,38%,27%,11%,24%
Missouri,<1%,32%,28%,11%,29%
Arkansas,<1%,30%,32%,12%,26%
Minnesota,<1%,35%,35%,14%,16%
Wisconsin,<1%,46%,30%,13%,11%
Nebraska,<1%,36%,36%,14%,14%
Kentucky,<1%,45%,29%,12%,14%
Utah,<1%,47%,24%,15%,14%
Alaska,,22%,20%,12%,46%
South Dakota,,33%,38%,15%,14%
North Dakota,,31%,39%,16%,14%
Montana,,32%,32%,17%,19%
Idaho,,41%,26%,16%,17%
Wyoming,,40%,34%,12%,14%
