Category: All categories

Region,TD Bank: (9/7/25 - 10/5/25),Chase Bank: (9/7/25 - 10/5/25),Capital One: (9/7/25 - 10/5/25),Citibank: (9/7/25 - 10/5/25),Bank of America: (9/7/25 - 10/5/25)
New Jersey,22%,31%,17%,8%,22%
New Hampshire,31%,21%,20%,7%,21%
Maine,25%,23%,23%,8%,21%
Vermont,23%,27%,24%,12%,14%
Delaware,16%,28%,26%,11%,19%
Massachusetts,13%,24%,19%,7%,37%
Connecticut,13%,29%,18%,9%,31%
New York,9%,44%,17%,13%,17%
Pennsylvania,13%,30%,27%,11%,19%
Rhode Island,9%,25%,20%,8%,38%
South Carolina,11%,23%,23%,9%,34%
Florida,6%,34%,19%,10%,31%
District of Columbia,5%,28%,32%,12%,23%
Maryland,3%,24%,34%,9%,30%
Virginia,2%,26%,38%,8%,26%
North Carolina,3%,26%,26%,11%,34%
Georgia,1%,31%,26%,8%,34%
Michigan,1%,46%,23%,9%,21%
Nevada,<1%,39%,20%,11%,30%
Colorado,<1%,48%,27%,11%,14%
West Virginia,1%,45%,33%,9%,12%
Washington,<1%,40%,19%,10%,31%
Texas,<1%,43%,24%,9%,24%
Tennessee,1%,32%,28%,10%,29%
Iowa,1%,34%,33%,14%,18%
California,<1%,41%,16%,14%,29%
Hawaii,<1%,38%,24%,21%,17%
Illinois,<1%,52%,18%,12%,18%
Oklahoma,1%,39%,27%,11%,22%
Arizona,<1%,50%,16%,9%,25%
New Mexico,<1%,31%,26%,13%,30%
Alabama,1%,32%,37%,14%,16%
Indiana,<1%,55%,25%,9%,11%
Ohio,<1%,52%,27%,9%,12%
Missouri,<1%,33%,28%,10%,29%
Louisiana,<1%,41%,47%,6%,6%
Kansas,<1%,31%,28%,12%,29%
Mississippi,<1%,33%,40%,11%,16%
Arkansas,<1%,29%,33%,12%,26%
Wisconsin,<1%,46%,30%,13%,11%
Utah,<1%,48%,23%,15%,14%
Kentucky,<1%,44%,29%,12%,15%
Oregon,<1%,44%,18%,12%,26%
Minnesota,<1%,33%,37%,15%,15%
Alaska,,23%,19%,12%,46%
South Dakota,,33%,38%,16%,13%
Nebraska,,37%,35%,14%,14%
North Dakota,,31%,39%,14%,16%
Montana,,31%,31%,18%,20%
Idaho,,40%,28%,16%,16%
Wyoming,,41%,34%,11%,14%
