Category: All categories

Region,TD Bank: (10/5/25 - 11/2/25),Chase Bank: (10/5/25 - 11/2/25),Capital One: (10/5/25 - 11/2/25),Citibank: (10/5/25 - 11/2/25),Bank of America: (10/5/25 - 11/2/25)
New Jersey,23%,31%,16%,7%,23%
New Hampshire,31%,21%,19%,7%,22%
Maine,26%,23%,23%,8%,20%
Vermont,24%,28%,23%,11%,14%
Delaware,15%,25%,28%,11%,21%
Connecticut,13%,28%,19%,10%,30%
Massachusetts,13%,24%,21%,6%,36%
New York,9%,41%,19%,13%,18%
Pennsylvania,13%,31%,28%,11%,17%
Rhode Island,9%,26%,21%,8%,36%
South Carolina,11%,24%,22%,9%,34%
Florida,6%,36%,20%,9%,29%
District of Columbia,4%,29%,32%,13%,22%
Maryland,3%,24%,34%,8%,31%
Virginia,2%,26%,37%,9%,26%
North Carolina,3%,25%,26%,11%,35%
Georgia,1%,32%,27%,8%,32%
Nevada,<1%,39%,21%,11%,29%
Arizona,<1%,48%,18%,8%,26%
Michigan,1%,48%,23%,9%,19%
Hawaii,1%,40%,22%,20%,17%
Washington,<1%,39%,18%,11%,32%
Texas,<1%,42%,24%,9%,25%
Mississippi,1%,32%,42%,11%,14%
New Mexico,<1%,33%,27%,11%,29%
Illinois,<1%,51%,20%,11%,18%
Nebraska,1%,36%,36%,14%,13%
Colorado,<1%,50%,28%,10%,12%
Indiana,<1%,52%,26%,10%,12%
Louisiana,<1%,41%,47%,5%,7%
Tennessee,<1%,34%,28%,10%,28%
Ohio,<1%,52%,28%,9%,11%
California,<1%,44%,16%,12%,28%
Arkansas,1%,29%,32%,13%,25%
Oregon,<1%,43%,19%,12%,26%
Utah,1%,45%,24%,15%,15%
Alabama,1%,34%,35%,13%,17%
Missouri,<1%,32%,27%,12%,29%
Kansas,<1%,30%,30%,11%,29%
Kentucky,<1%,47%,28%,12%,13%
Minnesota,<1%,33%,38%,13%,16%
Oklahoma,<1%,38%,27%,12%,23%
Iowa,<1%,34%,35%,14%,17%
Wisconsin,<1%,43%,31%,14%,12%
Alaska,,20%,21%,13%,46%
South Dakota,,31%,40%,14%,15%
North Dakota,,32%,37%,17%,14%
Montana,,33%,31%,17%,19%
Idaho,,40%,26%,15%,19%
West Virginia,,44%,35%,10%,11%
Wyoming,,38%,32%,12%,18%
